user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
24,29.0,Male,Researcher,2.57,54.0,6.46,6.38,4.73,2.0,99.0,45.0,3.29
25,39.0,Female,Designer,7.55,18.0,4.89,6.15,8.95,4.0,80.0,136.0,9.25
26,42.0,Female,Student,5.32,66.0,5.04,5.6,6.95,2.0,27.0,88.0,6.83
27,44.0,Male,Freelancer,5.34,87.0,6.15,3.71,10.0,2.0,109.0,,8.86
28,59.0,Female,Student,6.38,22.0,7.51,6.23,7.26,3.0,98.0,67.0,8.9
29,45.0,Male,Designer,35.0,3.0,7.85,6.87,9.62,4.0,65.0,232.0,8.74
30,,Female,Doctor,2.43,17.0,5.11,8.77,1.0,2.0,38.0,240.0,1.53
31,32.0,Female,Manager,2.56,11.0,6.68,,,3.0,84.0,285.0,4.71
32,20.0,Male,Designer,2.09,34.0,6.96,8.54,4.18,0.0,40.0,287.0,4.27
33,54.0,,Student,9.43,26.0,8.47,3.12,10.0,3.0,115.0,136.0,9.7
34,24.0,Other,Software Engineer,6.2,42.0,8.38,8.36,5.59,3.0,2.0,148.0,7.25
35,38.0,Female,Doctor,1.83,77.0,8.09,7.94,2.37,0.0,70.0,106.0,1.45
36,26.0,Female,Researcher,2.99,94.0,6.58,7.57,4.56,4.0,0.0,265.0,4.96
37,56.0,Male,Designer,7.53,66.0,4.33,6.57,8.33,4.0,48.0,103.0,9.11
38,35.0,Male,Freelancer,1.26,68.0,5.67,8.39,1.5,4.0,109.0,97.0,1.0
39,21.0,Male,,7.53,63.0,7.11,5.33,10.0,1.0,34.0,291.0,10.0
40,42.0,Male,,9.2,92.0,,2.99,10.0,2.0,34.0,,8.11
41,31.0,Female,Designer,1.51,102.0,8.25,5.44,7.76,3.0,48.0,44.0,8.22
42,26.0,,Doctor,2.68,51.0,5.9,7.08,3.92,1.0,61.0,153.0,3.39
43,,Female,Student,1.02,16.0,8.68,9.37,1.0,2.0,15.0,36.0,1.0
44,19.0,Male,Manager,1.98,82.0,4.82,7.73,1.91,3.0,64.0,227.0,1.31
45,37.0,Female,Freelancer,6.55,98.0,4.25,5.36,6.51,4.0,1.0,145.0,9.02
46,45.0,Female,Manager,1.4,32.0,4.88,7.55,4.85,0.0,1.0,272.0,4.72
47,24.0,Female,Doctor,4.83,71.0,6.31,,6.43,1.0,66.0,83.0,5.68
48,25.0,Female,Researcher,5.53,51.0,,7.31,6.43,0.0,58.0,170.0,6.44
49,52.0,Other,Researcher,9.16,100.0,4.77,3.95,10.0,4.0,41.0,298.0,8.9
50,31.0,Female,Teacher,5.27,34.0,,5.41,9.21,2.0,98.0,113.0,8.57
51,34.0,Male,Manager,2.28,19.0,7.88,9.68,1.53,0.0,31.0,157.0,2.08
52,53.0,Male,Designer,3.6,80.0,4.17,8.47,4.19,0.0,,91.0,4.41
53,57.0,Other,Software Engineer,7.05,44.0,4.21,4.78,9.74,2.0,108.0,226.0,10.0
54,21.0,Female,Software Engineer,2.01,76.0,6.45,7.69,4.65,1.0,48.0,293.0,5.48
55,19.0,Male,,3.09,67.0,4.91,7.12,6.38,1.0,52.0,274.0,
56,23.0,Male,Manager,9.96,49.0,6.25,3.07,10.0,3.0,65.0,299.0,8.86
57,59.0,Female,Doctor,1.05,57.0,4.22,8.49,3.0,3.0,36.0,297.0,3.65
58,21.0,Other,Freelancer,2.37,29.0,8.88,8.71,2.43,4.0,52.0,59.0,1.72
59,,Male,Doctor,8.59,69.0,7.27,4.77,10.0,2.0,50.0,232.0,10.0
60,35.0,Female,Doctor,1.91,1.0,7.43,,1.0,2.0,75.0,234.0,1.7
61,43.0,,Software Engineer,1.3,78.0,6.55,7.06,3.94,3.0,65.0,244.0,3.39
62,51.0,Male,Student,2.09,33.0,8.12,7.27,3.83,1.0,87.0,29.0,3.83
63,27.0,Male,Software Engineer,,51.0,8.17,6.62,9.1,1.0,1.0,114.0,8.88
64,53.0,Female,Student,9.94,83.0,4.8,4.61,10.0,3.0,1.0,240.0,8.95
65,31.0,Female,Freelancer,6.32,15.0,7.84,4.45,9.38,2.0,28.0,172.0,10.0
66,48.0,Female,,2.12,42.0,6.83,7.36,4.44,0.0,65.0,151.0,4.97
67,32.0,,Freelancer,2.65,63.0,7.81,5.83,6.45,0.0,14.0,293.0,7.11
68,25.0,Male,Doctor,5.84,112.0,8.59,6.22,6.97,4.0,105.0,112.0,7.96
69,31.0,Female,Researcher,7.44,92.0,5.68,5.68,9.92,,101.0,225.0,10.0
70,40.0,Male,Teacher,6.97,26.0,6.85,6.03,10.0,,114.0,,10.0
71,57.0,Male,Software Engineer,6.17,118.0,7.94,6.07,8.04,1.0,44.0,28.0,8.05
72,38.0,Male,Researcher,9.88,64.0,8.93,4.67,10.0,0.0,84.0,181.0,10.0
73,,Male,Doctor,2.78,12.0,7.06,8.78,3.19,2.0,82.0,56.0,4.12
74,35.0,,Software Engineer,2.56,39.0,7.61,,4.87,3.0,79.0,159.0,5.18
75,41.0,Female,Doctor,8.73,31.0,8.23,3.68,10.0,0.0,70.0,51.0,
76,43.0,Female,Software Engineer,3.62,66.0,7.76,6.81,6.02,0.0,28.0,129.0,6.53
77,42.0,,Designer,3.99,13.0,8.71,7.77,4.32,2.0,82.0,251.0,3.92
78,58.0,Female,Software Engineer,5.94,119.0,5.15,5.61,9.2,1.0,32.0,48.0,8.96
79,46.0,Female,Designer,4.43,119.0,8.54,6.0,7.39,0.0,87.0,89.0,8.79
80,32.0,Female,Researcher,3.59,57.0,5.04,7.2,5.67,4.0,50.0,276.0,5.69
81,18.0,Female,Student,9.25,91.0,6.83,4.13,10.0,0.0,112.0,166.0,10.0
82,42.0,Male,Software Engineer,2.16,45.0,6.61,7.16,4.26,1.0,82.0,276.0,3.81
83,24.0,Male,Student,,89.0,8.16,5.68,7.51,3.0,4.0,,8.48
84,26.0,Male,Teacher,1.03,84.0,5.99,8.91,2.71,0.0,36.0,228.0,2.9
85,41.0,Female,Manager,8.27,109.0,4.72,3.61,10.0,2.0,88.0,76.0,10.0
86,18.0,Other,Manager,2.52,114.0,7.53,6.58,5.06,1.0,2.0,31.0,3.93
87,25.0,Male,Designer,7.96,74.0,7.03,5.31,9.51,0.0,91.0,138.0,10.0
88,41.0,Male,Researcher,2.34,90.0,8.14,6.57,3.26,3.0,89.0,53.0,3.72
89,28.0,Male,Researcher,4.75,107.0,7.79,5.36,8.04,2.0,10.0,100.0,6.42
90,34.0,Female,Software Engineer,7.55,58.0,8.47,3.5,10.0,4.0,,92.0,9.55
91,25.0,Male,Manager,3.44,64.0,8.2,,4.38,0.0,6.0,28.0,4.97
92,52.0,Male,Student,3.83,32.0,7.43,8.8,2.74,0.0,89.0,129.0,
93,52.0,Male,Manager,7.01,45.0,6.33,6.68,9.17,,110.0,293.0,9.75
94,50.0,Female,Manager,2.69,81.0,4.1,7.48,5.46,3.0,67.0,232.0,5.83
95,22.0,Female,Doctor,9.57,,5.54,3.15,10.0,1.0,18.0,22.0,10.0
96,59.0,Female,Manager,2.7,65.0,7.64,7.08,5.0,4.0,33.0,56.0,5.42
97,56.0,Male,Student,7.75,3.0,4.3,5.19,9.21,4.0,9.0,285.0,7.27
98,58.0,Male,,8.22,53.0,7.78,4.2,10.0,0.0,1.0,291.0,10.0
99,,Male,Software Engineer,4.37,113.0,6.58,5.54,8.33,4.0,70.0,57.0,7.21
100,24.0,,Manager,2.41,,8.34,8.31,3.28,2.0,107.0,151.0,3.25
101,,Male,Teacher,2.49,118.0,7.3,7.86,2.57,0.0,34.0,148.0,1.63
102,25.0,Male,Manager,9.87,16.0,7.99,4.84,10.0,2.0,31.0,273.0,9.87
103,29.0,Female,Designer,7.53,111.0,4.86,5.73,9.16,,14.0,134.0,9.44
104,51.0,Male,Researcher,5.05,79.0,4.86,5.43,8.59,1.0,11.0,199.0,7.23
105,50.0,Male,Doctor,3.32,72.0,5.06,7.51,4.53,0.0,62.0,195.0,5.48
106,40.0,Female,Freelancer,1.17,,5.67,7.7,1.0,1.0,110.0,234.0,1.89
107,41.0,Female,,7.03,73.0,8.52,5.77,7.95,0.0,107.0,184.0,7.49
108,54.0,Female,Researcher,,70.0,7.87,4.87,10.0,,76.0,91.0,9.78
109,52.0,Female,Researcher,1.96,72.0,5.82,8.95,1.49,3.0,42.0,132.0,2.59
110,57.0,Male,Manager,7.79,54.0,,4.85,9.32,0.0,71.0,65.0,9.45
111,39.0,Female,,2.38,47.0,7.89,8.02,4.21,0.0,102.0,,2.53
112,44.0,Female,Software Engineer,8.13,90.0,7.28,5.36,10.0,2.0,84.0,61.0,10.0
113,52.0,Male,Freelancer,4.34,95.0,6.18,8.14,3.61,3.0,26.0,145.0,4.41
114,18.0,,Software Engineer,7.41,48.0,7.26,5.58,10.0,1.0,,180.0,10.0
115,52.0,Female,Designer,9.34,22.0,6.97,,10.0,3.0,80.0,236.0,8.74
116,54.0,Male,Freelancer,6.58,26.0,7.91,6.17,8.59,1.0,74.0,195.0,8.36
117,31.0,Male,Researcher,9.29,,5.13,2.97,,0.0,71.0,182.0,9.33
118,20.0,Male,Doctor,3.12,92.0,8.43,7.22,4.68,2.0,31.0,294.0,5.4
119,18.0,Male,Student,9.8,23.0,6.96,4.08,10.0,1.0,9.0,101.0,10.0
120,22.0,Male,Student,8.86,79.0,8.03,3.13,,0.0,34.0,21.0,10.0
121,43.0,Male,Researcher,1.97,79.0,5.74,,3.9,4.0,118.0,31.0,3.51
122,31.0,,Student,4.72,91.0,5.96,6.05,7.01,4.0,91.0,227.0,7.48
123,56.0,Male,Designer,9.34,19.0,8.69,5.88,10.0,4.0,95.0,145.0,10.0
124,44.0,Female,Designer,1.7,52.0,7.11,8.25,1.44,,3.0,75.0,2.7
125,26.0,Male,Manager,5.08,82.0,5.59,4.89,7.36,0.0,113.0,93.0,8.09
126,32.0,Female,Doctor,7.51,73.0,4.41,5.19,10.0,1.0,90.0,180.0,10.0
127,32.0,Female,Student,,25.0,6.17,7.01,2.72,2.0,115.0,163.0,2.38
128,43.0,Female,Student,7.78,,8.25,5.9,9.21,1.0,38.0,177.0,9.12
129,,Female,Manager,4.25,1.0,5.26,9.24,2.96,3.0,42.0,193.0,3.84
130,30.0,Male,Doctor,3.24,2.0,8.3,8.06,3.8,0.0,17.0,84.0,3.03
131,49.0,Male,Freelancer,6.18,102.0,4.81,5.41,8.14,0.0,31.0,279.0,8.15
132,56.0,Female,,5.9,55.0,4.65,7.47,5.21,,68.0,134.0,6.4
133,49.0,Male,Doctor,8.87,65.0,7.03,4.47,10.0,,117.0,282.0,7.86
134,21.0,,Researcher,7.08,24.0,8.02,4.35,10.0,1.0,100.0,113.0,9.52
135,47.0,Female,Software Engineer,4.8,108.0,7.9,7.21,4.54,0.0,27.0,201.0,4.23
136,54.0,Male,Doctor,,67.0,6.72,4.95,10.0,4.0,38.0,218.0,10.0
137,40.0,,Teacher,7.75,14.0,7.19,5.66,8.53,1.0,76.0,141.0,9.36
138,56.0,Female,Designer,9.44,81.0,5.29,5.53,10.0,3.0,85.0,227.0,9.06
139,32.0,Male,Doctor,7.34,6.0,6.76,8.69,5.23,4.0,26.0,259.0,4.41
140,46.0,Male,Software Engineer,5.89,,5.04,,9.99,4.0,52.0,178.0,10.0
141,53.0,Female,Researcher,4.36,81.0,8.64,7.46,5.3,1.0,8.0,,4.45
142,30.0,Female,Researcher,9.02,70.0,,4.61,10.0,4.0,90.0,286.0,10.0
143,49.0,Male,Freelancer,8.13,119.0,6.82,5.73,10.0,3.0,50.0,49.0,9.63
144,24.0,Male,Teacher,1.69,92.0,5.24,7.36,4.11,1.0,80.0,,5.09
145,39.0,Female,Software Engineer,,,6.04,,8.76,2.0,11.0,199.0,7.96
146,,Female,Software Engineer,5.85,59.0,7.9,5.6,7.92,1.0,11.0,249.0,7.27
147,19.0,Female,Manager,1.93,43.0,5.2,,1.0,0.0,98.0,95.0,1.78
148,59.0,Other,Software Engineer,6.08,32.0,4.64,5.91,9.63,2.0,119.0,125.0,10.0
149,23.0,Male,Software Engineer,2.73,65.0,5.54,7.04,3.84,,91.0,209.0,2.02
150,45.0,Male,Student,7.37,81.0,7.97,,9.98,4.0,29.0,221.0,10.0
151,45.0,Female,Designer,3.51,109.0,8.42,5.62,6.77,0.0,26.0,,6.28
152,37.0,Female,Manager,2.35,22.0,,8.81,1.03,0.0,42.0,138.0,
153,47.0,Male,Manager,1.74,63.0,,7.75,2.57,2.0,95.0,223.0,1.0
154,28.0,Male,Student,5.42,5.0,5.66,6.61,7.38,3.0,57.0,292.0,6.76
155,45.0,Female,Teacher,2.8,62.0,6.54,7.43,3.37,0.0,52.0,140.0,2.32
156,42.0,Male,Student,8.7,42.0,4.1,3.87,10.0,1.0,101.0,172.0,9.91
157,56.0,Female,Manager,1.03,24.0,7.56,7.89,3.34,4.0,103.0,132.0,3.5
158,50.0,Male,Teacher,8.59,82.0,7.59,3.78,10.0,2.0,5.0,31.0,10.0
159,18.0,Male,Manager,5.69,7.0,4.5,9.19,5.63,3.0,94.0,64.0,6.71
160,44.0,Male,Doctor,9.3,116.0,5.79,2.76,,4.0,116.0,98.0,10.0
161,30.0,Female,,2.84,36.0,6.42,9.77,1.0,3.0,0.0,282.0,1.0
162,58.0,Female,Manager,1.92,89.0,7.87,,2.15,2.0,42.0,,3.47
163,20.0,Female,Student,6.62,92.0,8.12,4.92,9.76,2.0,20.0,,10.0
164,56.0,Female,Manager,7.36,58.0,7.6,4.8,9.59,3.0,75.0,192.0,10.0
165,23.0,Male,Student,4.35,27.0,5.08,7.48,6.43,0.0,11.0,248.0,6.18
166,25.0,Male,Teacher,1.12,52.0,5.78,10.0,1.0,2.0,119.0,217.0,1.57
167,44.0,,Student,4.66,119.0,5.24,4.34,9.22,3.0,100.0,262.0,9.2
168,26.0,Female,Teacher,3.1,,7.19,6.96,4.55,0.0,45.0,261.0,3.89
169,,Female,Software Engineer,4.13,54.0,7.24,,4.13,0.0,85.0,146.0,4.16
170,50.0,Female,Designer,5.56,35.0,4.08,6.51,6.48,2.0,37.0,102.0,5.63
171,59.0,Male,Freelancer,7.32,61.0,7.66,5.46,8.39,1.0,50.0,66.0,8.5
172,,Male,Teacher,9.67,14.0,5.15,2.71,10.0,3.0,79.0,98.0,10.0
173,32.0,Female,Freelancer,2.3,53.0,8.01,8.17,4.45,4.0,75.0,174.0,3.89
174,49.0,Male,Researcher,7.12,60.0,,5.9,10.0,1.0,102.0,241.0,9.36
175,49.0,Male,Freelancer,3.1,96.0,7.98,6.74,5.66,0.0,44.0,24.0,7.24
176,41.0,Female,Software Engineer,2.99,53.0,6.04,7.33,4.76,4.0,13.0,170.0,
177,58.0,Male,Software Engineer,6.7,68.0,5.74,6.76,7.43,1.0,8.0,193.0,6.82
178,29.0,Female,Software Engineer,7.98,28.0,6.18,,8.26,0.0,1.0,212.0,7.55
179,56.0,Male,Freelancer,9.8,80.0,6.64,4.16,10.0,4.0,28.0,220.0,8.05
180,19.0,Female,Software Engineer,7.92,108.0,5.25,6.36,8.92,4.0,60.0,164.0,10.0
181,20.0,Female,Teacher,2.42,26.0,8.66,8.04,2.47,0.0,34.0,33.0,2.9
182,54.0,Female,Freelancer,3.03,80.0,6.52,7.16,6.73,2.0,85.0,34.0,5.95
183,34.0,Male,Freelancer,7.85,,4.37,5.91,,,68.0,61.0,10.0
184,19.0,Male,Researcher,5.74,67.0,8.99,5.62,8.83,,4.0,189.0,8.99
185,19.0,,Student,3.66,112.0,6.42,,3.09,0.0,43.0,136.0,2.99
186,45.0,Male,Software Engineer,5.25,11.0,8.73,7.1,5.55,3.0,,237.0,5.97
187,40.0,Female,Doctor,9.23,22.0,5.95,6.2,8.88,4.0,54.0,217.0,9.91
188,54.0,Male,Software Engineer,7.8,,5.12,6.06,10.0,0.0,83.0,294.0,
189,49.0,Male,Researcher,5.06,74.0,7.68,5.41,6.8,1.0,96.0,197.0,8.8
190,50.0,Male,Student,9.82,99.0,,3.85,10.0,0.0,43.0,127.0,9.16
191,18.0,Female,Student,8.15,75.0,8.41,5.14,10.0,2.0,68.0,298.0,10.0
192,36.0,Male,Designer,1.05,72.0,6.32,8.8,1.75,0.0,61.0,157.0,2.27
193,19.0,Female,Designer,2.01,87.0,5.69,9.71,1.0,,6.0,65.0,1.0
194,43.0,Female,Freelancer,5.99,81.0,8.83,6.3,8.27,4.0,68.0,208.0,9.88
195,49.0,Female,Software Engineer,4.15,26.0,8.15,7.37,7.16,2.0,,268.0,8.59
196,23.0,Female,Software Engineer,8.31,58.0,5.03,3.81,10.0,0.0,82.0,289.0,10.0
197,49.0,Male,Manager,9.06,8.0,6.44,5.42,9.93,1.0,72.0,240.0,9.91
198,21.0,Female,Freelancer,3.17,32.0,4.57,7.36,5.88,4.0,80.0,273.0,6.17
199,28.0,Female,Manager,7.87,69.0,4.54,4.07,10.0,3.0,38.0,41.0,10.0
200,34.0,Female,Designer,5.82,50.0,8.27,6.16,6.62,2.0,8.0,130.0,5.84
201,55.0,Female,Software Engineer,4.53,96.0,8.66,4.71,10.0,2.0,51.0,292.0,10.0
202,41.0,Male,Manager,8.08,39.0,7.69,3.29,10.0,4.0,79.0,197.0,10.0
203,22.0,Male,Doctor,6.08,5.0,8.95,7.15,7.44,3.0,82.0,53.0,6.36
204,51.0,Female,Teacher,6.72,3.0,4.23,9.0,4.13,4.0,110.0,187.0,2.02
205,23.0,Female,Designer,1.56,2.0,,10.0,1.85,2.0,77.0,,1.04
206,,Male,,6.27,12.0,4.66,5.8,7.37,4.0,99.0,172.0,6.6
207,28.0,Male,Student,3.71,25.0,7.91,,3.39,4.0,35.0,239.0,3.03
208,33.0,Male,Software Engineer,5.44,33.0,8.45,9.44,3.39,4.0,,257.0,3.85
209,,Female,Designer,3.0,76.0,6.24,6.75,3.45,2.0,,121.0,3.13
210,26.0,Female,Designer,6.53,52.0,8.15,4.59,,0.0,25.0,151.0,9.07
211,23.0,Female,Researcher,2.33,46.0,8.24,8.68,2.64,3.0,110.0,127.0,1.16
212,33.0,Male,Manager,2.11,7.0,4.7,10.0,1.0,,10.0,37.0,3.66
213,46.0,Male,Doctor,2.7,75.0,5.88,7.73,2.33,0.0,42.0,144.0,2.75
214,20.0,Male,Freelancer,8.36,,4.94,5.66,9.94,3.0,27.0,246.0,10.0
215,37.0,Male,Software Engineer,1.3,18.0,7.35,8.57,4.49,4.0,39.0,35.0,4.19
216,53.0,Female,,7.57,104.0,5.94,3.5,10.0,0.0,106.0,279.0,8.36
217,36.0,Male,Teacher,1.51,73.0,7.34,7.36,4.6,1.0,118.0,248.0,4.08
218,43.0,Female,Doctor,6.33,31.0,8.38,6.16,,,10.0,209.0,7.06
219,20.0,Female,Teacher,7.96,20.0,6.06,7.62,7.8,0.0,11.0,222.0,6.14
220,36.0,Female,Student,3.08,63.0,8.86,4.89,7.04,3.0,41.0,142.0,6.58
221,37.0,Male,Designer,2.76,22.0,6.04,10.0,1.62,4.0,90.0,99.0,1.33
222,49.0,Male,Manager,3.6,90.0,5.07,7.74,3.54,1.0,75.0,42.0,2.78
223,24.0,Male,Doctor,7.3,88.0,6.65,,10.0,0.0,32.0,270.0,10.0
224,58.0,Female,Researcher,3.29,70.0,6.0,7.73,3.38,2.0,4.0,261.0,3.94
225,50.0,,Teacher,5.52,41.0,4.63,,7.28,3.0,20.0,109.0,
226,57.0,,Software Engineer,2.21,34.0,4.12,10.0,1.0,0.0,29.0,174.0,1.11
227,56.0,Male,Student,5.15,1.0,7.72,6.0,7.33,4.0,32.0,295.0,6.51
228,35.0,Female,Researcher,6.62,91.0,8.66,3.7,9.46,3.0,73.0,192.0,8.0
229,57.0,Female,Freelancer,1.65,70.0,6.2,8.7,2.58,0.0,0.0,,2.13
230,18.0,Other,,8.34,105.0,4.33,4.22,10.0,4.0,28.0,137.0,10.0
231,28.0,Male,Designer,9.44,103.0,7.7,3.65,10.0,3.0,70.0,165.0,9.49
232,45.0,Male,Designer,2.74,75.0,8.34,7.1,3.02,4.0,50.0,254.0,3.06
233,42.0,Male,Teacher,7.83,51.0,5.62,4.52,10.0,0.0,96.0,281.0,9.29
234,40.0,Male,Teacher,3.82,16.0,5.11,7.49,6.51,0.0,64.0,290.0,6.29
235,48.0,Female,Student,7.09,85.0,5.69,6.24,9.32,2.0,94.0,249.0,9.38
236,47.0,Male,Teacher,3.76,8.0,8.54,9.27,3.94,4.0,47.0,180.0,3.62
237,59.0,Male,Designer,8.76,51.0,6.09,5.68,9.58,3.0,32.0,252.0,7.9
238,,Female,Student,4.12,2.0,7.27,7.29,5.81,3.0,2.0,291.0,4.2
239,24.0,Male,,8.64,21.0,4.37,4.16,9.94,2.0,94.0,296.0,10.0
240,33.0,,Freelancer,7.9,53.0,5.41,6.97,7.15,1.0,65.0,62.0,5.93
241,43.0,Male,Software Engineer,2.77,35.0,5.14,6.4,6.45,2.0,17.0,186.0,
242,19.0,Female,Software Engineer,2.41,38.0,4.31,7.94,2.53,3.0,103.0,201.0,2.19
243,18.0,Male,Teacher,8.02,17.0,4.6,5.88,9.47,4.0,17.0,92.0,8.83
244,29.0,Female,Researcher,4.51,80.0,6.08,9.61,3.35,2.0,87.0,256.0,3.67
245,,Male,Teacher,9.54,26.0,6.79,4.81,9.86,4.0,95.0,217.0,10.0
246,54.0,Male,Researcher,9.49,117.0,5.56,4.0,10.0,1.0,87.0,193.0,10.0
247,49.0,Female,Designer,7.24,98.0,6.1,5.29,10.0,3.0,72.0,193.0,10.0
248,26.0,Male,Researcher,5.51,95.0,7.8,6.98,8.75,,11.0,285.0,9.54
249,58.0,Male,Designer,2.75,66.0,5.24,8.46,4.13,4.0,26.0,201.0,4.01
250,52.0,Female,Software Engineer,8.94,12.0,4.17,5.96,,1.0,58.0,175.0,10.0
251,36.0,,Student,1.74,16.0,,,2.19,0.0,102.0,152.0,3.63
252,33.0,Male,Doctor,4.33,60.0,8.61,,5.83,4.0,68.0,265.0,4.65
253,20.0,Male,Manager,3.87,17.0,4.09,7.46,5.4,2.0,34.0,90.0,7.07
254,37.0,Male,Manager,9.63,114.0,4.64,,10.0,4.0,25.0,233.0,10.0
255,41.0,Male,Freelancer,2.06,16.0,4.33,8.03,4.06,2.0,9.0,47.0,5.62
256,50.0,Other,Doctor,9.01,55.0,5.88,5.12,10.0,1.0,73.0,44.0,10.0
257,41.0,Female,Researcher,5.11,47.0,7.24,6.01,7.33,3.0,51.0,273.0,7.74
258,28.0,Male,Freelancer,1.43,15.0,8.55,8.97,1.0,0.0,2.0,46.0,1.25
259,25.0,Other,Teacher,,85.0,7.97,4.56,7.76,1.0,76.0,256.0,8.1
260,53.0,Female,Manager,1.91,24.0,,8.29,2.26,4.0,85.0,27.0,2.03
261,55.0,Female,Freelancer,3.13,64.0,7.17,8.05,5.02,3.0,20.0,251.0,4.21
262,57.0,Male,Manager,8.2,26.0,7.32,5.68,10.0,2.0,33.0,33.0,10.0
263,37.0,Male,Doctor,2.39,13.0,4.45,8.59,2.9,4.0,,277.0,4.17
264,52.0,Female,Freelancer,3.93,91.0,6.14,4.23,8.93,1.0,116.0,267.0,10.0
265,42.0,Male,Doctor,4.25,110.0,5.56,4.35,9.05,1.0,25.0,214.0,7.98
266,52.0,Male,Software Engineer,6.3,99.0,4.79,5.75,10.0,3.0,9.0,276.0,8.49
267,42.0,Male,Student,8.11,115.0,4.29,,10.0,4.0,107.0,45.0,10.0
268,46.0,Male,Designer,3.08,116.0,4.14,7.2,,4.0,19.0,236.0,3.06
269,35.0,Female,Researcher,2.85,,8.29,,5.98,2.0,54.0,285.0,5.74
270,35.0,Female,Software Engineer,3.0,49.0,5.65,7.11,5.29,1.0,80.0,78.0,5.34
271,19.0,,Manager,4.43,95.0,6.47,4.55,8.43,0.0,87.0,235.0,8.53
272,52.0,Male,Designer,5.82,28.0,5.46,6.49,7.62,1.0,96.0,,7.08
273,33.0,Female,Software Engineer,1.12,80.0,4.83,6.12,6.37,0.0,106.0,141.0,7.22
274,58.0,Male,Software Engineer,8.02,27.0,5.31,4.46,10.0,3.0,79.0,128.0,10.0
275,53.0,Female,Doctor,9.34,104.0,4.85,3.11,10.0,3.0,46.0,148.0,10.0
276,50.0,Female,Designer,8.59,20.0,7.79,5.94,9.31,1.0,100.0,85.0,9.32
277,21.0,Male,Software Engineer,1.33,23.0,8.54,9.18,1.0,1.0,48.0,162.0,1.94
278,50.0,Female,Doctor,5.72,45.0,6.17,6.29,6.75,0.0,,288.0,7.48
279,31.0,Female,Teacher,8.33,59.0,8.11,5.6,10.0,1.0,106.0,173.0,10.0
280,38.0,Male,Designer,4.1,98.0,6.13,,6.99,3.0,61.0,,6.41
281,37.0,Male,,9.07,19.0,6.23,5.41,10.0,3.0,7.0,136.0,10.0
282,25.0,Other,Freelancer,8.98,51.0,6.43,,10.0,2.0,14.0,20.0,10.0
283,24.0,Male,Software Engineer,2.28,,8.1,8.33,2.9,0.0,12.0,24.0,2.26
284,1.0,Female,Manager,5.44,67.0,8.68,5.34,9.57,4.0,24.0,188.0,
285,34.0,Female,Teacher,1.23,15.0,7.72,9.26,2.13,1.0,44.0,72.0,1.69
286,,Male,Doctor,3.54,20.0,8.44,8.31,2.89,3.0,48.0,166.0,2.21
